"Strategy_name","Test_period","value","variable","KPI"
"first_InvInef_top4","2020",0.359642974312492,"Total Return","TotalReturn"
"first_InvInef_top4","2020",0.2356,"Annualized Return","AnnualizedReturns"
"first_InvInef_top4","2020",0.8011,"Annualized Std Dev","AnnualizedReturns"
"first_InvInef_top4","2020",0.2804,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_InvInef_top4","2020",0.0505,"daily  Std Dev","Distributions"
"first_InvInef_top4","2020",-1.7256,"Skewness","Distributions"
"first_InvInef_top4","2020",16.6688,"Kurtosis","Distributions"
"first_InvInef_top4","2020",13.6688,"Excess kurtosis","Distributions"
"first_InvInef_top4","2020",-1.7398,"Sample skewness","Distributions"
"first_InvInef_top4","2020",13.874,"Sample excess kurtosis","Distributions"
"first_InvInef_top4","2020",0.0392,"Semi Deviation","DownsideRisk"
"first_InvInef_top4","2020",0.0291,"Gain Deviation","DownsideRisk"
"first_InvInef_top4","2020",0.0443,"Loss Deviation","DownsideRisk"
"first_InvInef_top4","2020",0.0382,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_InvInef_top4","2020",0.0382,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_InvInef_top4","2020",0.0382,"Downside Deviation (0%)","DownsideRisk"
"first_InvInef_top4","2020",0.7085,"Maximum Drawdown","DownsideRisk"
"first_InvInef_top4","2020",-0.079,"Historical VaR (95%)","DownsideRisk"
"first_InvInef_top4","2020",-0.1237,"Historical ES (95%)","DownsideRisk"
"first_InvInef_top4","2020",-0.0887,"Modified VaR (95%)","DownsideRisk"
"first_InvInef_top4","2020",-0.2554,"Modified ES (95%)","DownsideRisk"
"first_InvInef_top4","2020",0.0382,"daily downside risk","DownsideRiskRatio"
"first_InvInef_top4","2020",0.607,"Annualised downside risk","DownsideRiskRatio"
"first_InvInef_top4","2020",0.0163,"Downside potential","DownsideRiskRatio"
"first_InvInef_top4","2020",1.1362,"Omega","DownsideRiskRatio"
"first_InvInef_top4","2020",0.058,"Sortino ratio","DownsideRiskRatio"
"first_InvInef_top4","2020",0.0185,"Upside potential","DownsideRiskRatio"
"first_InvInef_top4","2020",0.5773,"Upside potential ratio","DownsideRiskRatio"
"first_InvInef_top4","2020",0.1362,"Omega-sharpe ratio","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.464047502969817,"Total Return","TotalReturn"
"first_InvInef_bottom4","2020",0.3001,"Annualized Return","AnnualizedReturns"
"first_InvInef_bottom4","2020",0.6299,"Annualized Std Dev","AnnualizedReturns"
"first_InvInef_bottom4","2020",0.4582,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_InvInef_bottom4","2020",0.0397,"daily  Std Dev","Distributions"
"first_InvInef_bottom4","2020",-3.3031,"Skewness","Distributions"
"first_InvInef_bottom4","2020",37.1262,"Kurtosis","Distributions"
"first_InvInef_bottom4","2020",34.1262,"Excess kurtosis","Distributions"
"first_InvInef_bottom4","2020",-3.3304,"Sample skewness","Distributions"
"first_InvInef_bottom4","2020",34.6136,"Sample excess kurtosis","Distributions"
"first_InvInef_bottom4","2020",0.0323,"Semi Deviation","DownsideRisk"
"first_InvInef_bottom4","2020",0.0211,"Gain Deviation","DownsideRisk"
"first_InvInef_bottom4","2020",0.0401,"Loss Deviation","DownsideRisk"
"first_InvInef_bottom4","2020",0.0316,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_InvInef_bottom4","2020",0.0316,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_InvInef_bottom4","2020",0.0316,"Downside Deviation (0%)","DownsideRisk"
"first_InvInef_bottom4","2020",0.635,"Maximum Drawdown","DownsideRisk"
"first_InvInef_bottom4","2020",-0.0577,"Historical VaR (95%)","DownsideRisk"
"first_InvInef_bottom4","2020",-0.0979,"Historical ES (95%)","DownsideRisk"
"first_InvInef_bottom4","2020",-0.065,"Modified VaR (95%)","DownsideRisk"
"first_InvInef_bottom4","2020",-0.1852,"Modified ES (95%)","DownsideRisk"
"first_InvInef_bottom4","2020",0.0316,"daily downside risk","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.5017,"Annualised downside risk","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.0116,"Downside potential","DownsideRiskRatio"
"first_InvInef_bottom4","2020",1.1657,"Omega","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.061,"Sortino ratio","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.0136,"Upside potential","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.4881,"Upside potential ratio","DownsideRiskRatio"
"first_InvInef_bottom4","2020",0.1657,"Omega-sharpe ratio","DownsideRiskRatio"
